ChildID,TeachID.Year1,Age.at.test,Annual.Gross.Income,gender,cond.dum,zero.app.users.year1,matchschool,twin,year1dropout,wjappliedfa13_filter,WJletterwordFa13_filter,WJ.applied.Sp14.filter,WJ.letterword.Sp14.filter,Returned.Parent.Survey.cohort1.Fa13,WJ.Applied.Problems.W.Score.Fa13,WJ.Applied.Problems.GE.Fa13,WJ.Letter.Word.ID.W.Score.Fa13,WJ.Letter.Word.ID.GE.Fa13,WJ.Applied.Problems_W.Score_Sp14,WJ.Applied.Problem_GE_Sp14,WJ.LetterWord.Wscore.Sp14,WJ.LetterWord_GE_Sp14,Relationship.to.Child.Parent.Survey.Fa13,Gender.of.Person.Filling.Out.Survey.Fa13,ParentMAaverage.Fa13,parent.total.math.class.Fa13,avg.use,use.012.groups,in.depth.year1,WScore.Parent.Math.Fluency.Year1,parentMA_mediansplit,parentMathClass_mediansplit
101,1.00,74.00,3.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,476.0,2.8,446.0,2.3,481.0,3.0,478.0,3.3,Mother,F,1.8,5.0,2.26,2.0,0.0,,1.00,1.00
102,1.00,78.00,6.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,467.0,2.3,457.0,2.6,481.0,3.0,471.0,3.0,Mother,F,1.4,4.0,1.30,1.0,0.0,,1.00,1.00
103,1.00,83.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,471.0,2.5,464.0,2.8,509.0,5.2,484.0,3.5,Mother,F,1.8,0.0,2.70,2.0,0.0,,1.00,1.00
104,1.00,53.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,458.0,1.9,408.0,1.4,476.0,2.8,446.0,2.3,Father,M,3.5,0.0,4.30,2.0,0.0,,2.00,1.00
105,1.00,83.00,3.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,440.0,1.1,359.0,0.3,467.0,2.3,376.0,0.7,Mother,F,3.3,3.0,1.17,1.0,0.0,,2.00,1.00
106,1.00,75.00,4.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,436.0,0.9,457.0,2.6,454.0,1.7,475.0,3.1,Mother,F,1.5,10.0,2.31,2.0,0.0,,1.00,2.00
107,2.00,75.00,6.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,453.0,1.7,486.0,3.6,467.0,2.3,520.0,6.5,Mother,F,2.7,5.0,0.31,0.0,1.0,509.0,2.00,1.00
108,2.00,75.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,467.0,2.3,480.0,3.3,502.0,4.5,498.0,4.3,Mother,F,1.3,5.0,0.69,1.0,0.0,,1.00,1.00
109,2.00,76.00,,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,453.0,1.7,453.0,2.4,490.0,3.6,501.0,4.5,Mother,F,1.5,7.0,2.27,2.0,0.0,,1.00,2.00
110,2.00,79.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,453.0,1.7,434.0,2.0,481.0,3.0,471.0,3.0,Mother,F,1.4,,1.27,1.0,0.0,,1.00,
